season;weekday;day;month;year;home_team;away_team;home_elo;away_elo;home_goals;away_goals;home_odds;draw_odds;away_odds;attendance
2015/2016;Fri;10;7;2015;Inter Zapresic;Rijeka;1232;1520;0;0;0.1717171717171717;0.25252525252525254;0.5757575757575758;3380
2015/2016;Sat;11;7;2015;NK Zagreb;Osijek;1288;1269;0;1;0.49504950495049505;0.27722772277227725;0.22772277227722773;500
2015/2016;Sat;11;7;2015;Istra 1961;Slaven Belupo;1267;1286;3;1;0.4444444444444444;0.30303030303030304;0.25252525252525254;1482
2015/2016;Sun;12;7;2015;Dinamo Zagreb;Hajduk;1594;1368;1;1;0.77;0.15;0.08;23631
2015/2016;Mon;13;7;2015;Split 1912;Lok Zagreb;1330;1299;2;1;0.54;0.25;0.21;1000
2015/2016;Sat;18;7;2015;Inter Zapresic;NK Zagreb;1224;1264;1;1;0.42424242424242425;0.30303030303030304;0.2727272727272727;532
2015/2016;Sun;19;7;2015;Hajduk;Split 1912;1358;1322;0;0;0.53;0.26;0.21;10594
2015/2016;Sun;19;7;2015;Rijeka;Slaven Belupo;1478;1264;3;3;0.7326732673267327;0.1782178217821782;0.0891089108910891;4203
2015/2016;Sun;19;7;2015;Osijek;Dinamo Zagreb;1267;1573;1;1;0.16;0.24;0.6;4616
2015/2016;Mon;20;7;2015;Lok Zagreb;Istra 1961;1286;1263;6;1;0.52;0.26;0.22;350
2015/2016;Sat;25;7;2015;Split 1912;Osijek;1325;1272;2;1;0.53;0.27;0.2;800
2015/2016;Sat;25;7;2015;Dinamo Zagreb;Inter Zapresic;1568;1221;5;1;0.85;0.11;0.04;1207
2015/2016;Sun;26;7;2015;Istra 1961;Hajduk;1251;1365;4;1;0.35353535353535354;0.2727272727272727;0.37373737373737376;3898
2015/2016;Sun;26;7;2015;NK Zagreb;Rijeka;1264;1469;3;3;0.25742574257425743;0.26732673267326734;0.4752475247524752;800
2015/2016;Mon;27;7;2015;Slaven Belupo;Lok Zagreb;1270;1282;2;2;0.49;0.26;0.25;756
2015/2016;Fri;31;7;2015;NK Zagreb;Dinamo Zagreb;1271;1569;0;2;0.16831683168316833;0.24752475247524752;0.5841584158415841;2500
2015/2016;Sat;1;8;2015;Osijek;Istra 1961;1271;1269;2;2;0.48;0.28;0.24;2225
2015/2016;Sat;1;8;2015;Inter Zapresic;Split 1912;1223;1333;0;0;0.35;0.3;0.35;567
2015/2016;Sun;2;8;2015;Hajduk;Slaven Belupo;1366;1272;2;2;0.61;0.23;0.16;8753
2015/2016;Sun;2;8;2015;Rijeka;Lok Zagreb;1470;1288;3;1;0.73;0.17;0.1;5100
2015/2016;Fri;7;8;2015;Split 1912;NK Zagreb;1344;1278;3;0;0.54;0.27;0.19;800
2015/2016;Sat;8;8;2015;Istra 1961;Inter Zapresic;1283;1235;0;0;0.54;0.25;0.21;1519
2015/2016;Sat;8;8;2015;Dinamo Zagreb;Rijeka;1594;1485;0;0;0.6138613861386139;0.22772277227722773;0.15841584158415842;5200
2015/2016;Sun;9;8;2015;Slaven Belupo;Osijek;1288;1280;3;0;0.48;0.28;0.24;883
2015/2016;Mon;10;8;2015;Lok Zagreb;Hajduk;1296;1387;1;2;0.40404040404040403;0.26262626262626265;0.3333333333333333;3800
2015/2016;Fri;14;8;2015;Inter Zapresic;Slaven Belupo;1239;1297;2;1;0.4;0.3;0.3;516
2015/2016;Sat;15;8;2015;Rijeka;Hajduk;1490;1395;0;0;0.6060606060606061;0.23232323232323232;0.16161616161616163;5287
2015/2016;Sat;15;8;2015;Dinamo Zagreb;Split 1912;1588;1352;3;0;0.7474747474747475;0.1717171717171717;0.08080808080808081;2000
2015/2016;Sun;16;8;2015;NK Zagreb;Istra 1961;1270;1279;1;1;0.47;0.29;0.24;450
2015/2016;Mon;17;8;2015;Osijek;Lok Zagreb;1270;1288;0;1;0.47;0.27;0.26;1157
2015/2016;Fri;21;8;2015;Lok Zagreb;Inter Zapresic;1297;1245;1;2;0.56;0.23;0.21;470
2015/2016;Sat;22;8;2015;Istra 1961;Dinamo Zagreb;1281;1591;1;1;0.15;0.23;0.62;3385
